,sn,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,totalcases_permillion,totaldeaths_permillion,total_tests,totaltests_permillion,population
173,166,Diamond Princess,712,,13,,651,,48,4,,,,
174,167,French Polynesia,694,,,,360,,334,4,"2,468",,"15,272","54,310"
175,168,Channel Islands,631,,48,,575,,8,1,"3,623",276,"83,755","480,939"
176,169,Turks and Caicos,591,+14,5,,221,+1,365,2,"15,228",129,"2,650","68,283"
177,170,Sint Maarten,511,,19,,302,,190,7,"11,894",442,"2,450","57,027"
178,171,Tanzania,509,,21,,183,,305,7,8,0.3,,
179,172,Taiwan,492,+2,7,,473,+2,12,,21,0.3,"88,273","3,705"
180,173,Papua New Guinea,479,,5,,232,,242,,53,0.6,"15,592","1,737"
181,174,Burundi,451,,1,,357,,93,,38,0.08,"24,659","2,063"
182,175,Comoros,448,,7,,410,,31,,513,8,,
183,176,Faeroe Islands,413,,,,379,,34,2,"8,446",,"101,926","2,084,504"
184,177,Mauritius,356,,10,,335,,11,,280,8,"227,409","178,759"
185,178,Isle of Man,336,,24,,312,,0,,"3,948",282,"10,253","120,462"
186,179,Eritrea,330,,,,295,,35,,93,,,
187,180,Gibraltar,312,+7,,,255,+7,57,,"9,261",,"36,807","1,092,552"
188,181,Mongolia,310,,,,296,,14,1,94,,"56,573","17,208"
189,182,Cambodia,274,,,,272,,2,1,16,,"104,187","6,217"
190,183,Saint Martin,239,,6,,79,,154,11,"6,163",155,"2,968","76,532"
191,184,Bhutan,228,+1,,,150,,78,,295,,"106,814","138,160"
192,185,Cayman Islands,205,,1,,204,,0,,"3,113",15,"36,000","546,622"
193,186,Barbados,178,,7,,153,,18,,619,24,"17,979","62,549"
194,187,Bermuda,175,,9,,158,,8,,"2,812",145,"48,220","774,793"
195,188,Monaco,147,,1,,97,,49,1,"3,741",25,"51,953","1,322,228"
196,189,Brunei,145,,3,,139,,3,,331,7,"53,035","121,022"
197,190,Seychelles,136,,,,127,,9,,"1,381",,"5,200","52,815"
198,191,Liechtenstein,107,,1,,97,,9,,"2,805",26,900,"23,592"
199,192,Antigua and Barbuda,95,,3,,91,,1,1,969,31,"2,066","21,066"
200,193,Curaçao,78,,1,,39,,38,,475,6,"1,080","6,577"
201,194,British Virgin Islands,63,,1,,10,,52,2,"2,081",33,"3,713","122,675"
202,195,St. Vincent Grenadines,61,,,,57,,4,,550,,"3,918","35,296"
203,196,Macao,46,,,,46,,0,,71,,"4,071","6,254"
204,197,Fiji,29,,2,,23,,4,1,32,2,"8,365","9,319"
205,198,Timor-Leste,27,,,,25,,2,,20,,"5,146","3,890"
206,199,New Caledonia,26,,,,23,,3,,91,,"12,837","44,887"
207,200,Saint Lucia,26,,,,26,,0,,141,,"5,835","31,750"
208,201,Grenada,24,,,,24,,0,,213,,"6,252","55,516"
209,202,Laos,22,,,,21,,1,,3,,"40,356","5,533"
210,203,Dominica,20,,,,18,,2,,278,,"2,077","28,840"
211,204,Caribbean Netherlands,18,,,,7,,11,,685,,900,"34,265"
212,205,St. Barth,18,,,,13,,5,,"1,821",,"2,075","209,978"
213,206,Saint Kitts and Nevis,17,,,,17,,0,,319,,"1,635","30,695"
214,207,Greenland,14,,,,14,,0,,247,,"6,946","122,315"
215,208,Montserrat,13,,1,,12,,0,,"2,604",200,328,"65,692"
216,209,Falkland Islands,13,,,,13,,0,,"3,717",,"2,256","645,124"
217,210,Vatican City,12,,,,12,,0,,"14,981",,,
218,211,Western Sahara,10,,1,,8,,1,,17,2,,
219,212,MS Zaandam,9,,2,,,,7,,,,,
220,213,Saint Pierre Miquelon,5,,,,5,,0,,864,,"1,051","181,551"
221,214,Anguilla,3,,,,3,,0,,200,,808,"53,770"
